Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,combined_text
Exercise ball squat and twist,"The exercise ball squat and twist is a combination exercise targeting the quads, but also the obliques because of the twisting motion with each repetition. The exercise ball is held close to the chest throughout. Because it is a lightweight movement, it is usually performed for high reps or for time, and can be a great part of a bodyweight and exercise ball circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,,"exercise ball squat and twist the exercise ball squat and twist is a combination exercise targeting the quads, but also the obliques because of the twisting motion with each repetition. the exercise ball is held close to the chest throughout. because it is a lightweight movement, it is usually performed for high reps or for time, and can be a great part of a bodyweight and exercise ball circuit."
Swiss Ball V-Up With Foot Pass,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,,"swiss ball v-up with foot pass the exercise ball v-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. it involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing v-ups. it can be performed for reps or time as part of any ab-focused workout or bodyweight circuit."
Exercise ball pike,"The exercise ball pike is a challenging move that targets the core. It involves thrusting the hips into full flexion over a ball, then extending out to a foot-elevated plank with the feet on the ball. It's a challenging move from a strength perspective, but also for balance. It can be the centerpiece of an ab workout or go along with other body weight or ball movements in an ab circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,,"exercise ball pike the exercise ball pike is a challenging move that targets the core. it involves thrusting the hips into full flexion over a ball, then extending out to a foot-elevated plank with the feet on the ball. it's a challenging move from a strength perspective, but also for balance. it can be the centerpiece of an ab workout or go along with other body weight or ball movements in an ab circuit."
Exercise ball bird dog,"The exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. When performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. It is slightly easier than a bodyweight bird dog and can work as a regression for that movement. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Strength,Abdominals,Exercise Ball,Intermediate,,,"exercise ball bird dog the exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. when performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. it is slightly easier than a bodyweight bird dog and can work as a regression for that movement. it can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise."
Exercise ball superman,"The exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. It targets many muscles along the posterior or backside of the body, including the rear deltoids, trapezius, spinal erectors, glutes, and hamstrings. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Strength,Abdominals,Exercise Ball,Intermediate,,,"exercise ball superman the exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. it targets many muscles along the posterior or backside of the body, including the rear deltoids, trapezius, spinal erectors, glutes, and hamstrings. it can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise."
BOSU cross-body crunch,"The BOSU cross-body crunch is a dynamic abdominal exercise performed on a BOSU ball or other stability training device. It targets several of the muscles in the core, including the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed in alternating reps, either for time or a number of reps, as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",Strength,Abdominals,Exercise Ball,Intermediate,,,"bosu cross-body crunch the bosu cross-body crunch is a dynamic abdominal exercise performed on a bosu ball or other stability training device. it targets several of the muscles in the core, including the obliques and the rectus abdominis or ""six-pack"" muscles. it is usually performed in alternating reps, either for time or a number of reps, as part of an ab-focused workout or a circuit involving body weight or the bosu ball."
Exercise Ball Knee Tuck - Gethin Varation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,,,exercise ball knee tuck - gethin varation the exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. this is a fairly advanced abdominal move requiring core strength.
Alternating Exercise Ball Knee Tucks - Gethin Variation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,,,alternating exercise ball knee tucks - gethin variation the exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. this is a fairly advanced abdominal move requiring core strength.
AM Ball Crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Exercise Ball,Intermediate,,,"am ball crunch the exercise ball crunch is a popular gym exercise targeting the abdominals. unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. the ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps."
30 Bosu Cable Reverse Crunch,,Strength,Abdominals,Exercise Ball,Intermediate,,,30 bosu cable reverse crunch 
BOSU knee tuck,"The BOSU knee tuck is a dynamic abdominal movement performed on a BOSU ball or other stability training device. It primarily targets the rectus abdominis or ""six-pack"" muscles of the core. It can be performed for time or reps as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",Strength,Abdominals,Exercise Ball,Intermediate,,,"bosu knee tuck the bosu knee tuck is a dynamic abdominal movement performed on a bosu ball or other stability training device. it primarily targets the rectus abdominis or ""six-pack"" muscles of the core. it can be performed for time or reps as part of an ab-focused workout or a circuit involving body weight or the bosu ball."
30 Side Plank On Ball,"The feet-elevated side plank on ball is a more advanced version of a traditional bodyweight side plank. The feet are balanced on an exercise ball, providing a balance challenge but also increasing the load placed upon the obliques and shoulder muscles. It is usually performed for timed holds, either one side at a time or alternating sides. If a ball is unavailable, some of the benefits of the movement can be obtained by performing side planks with the feet elevated on a couch, chair, bench, or other stable object.",Strength,Abdominals,Exercise Ball,Intermediate,,,"30 side plank on ball the feet-elevated side plank on ball is a more advanced version of a traditional bodyweight side plank. the feet are balanced on an exercise ball, providing a balance challenge but also increasing the load placed upon the obliques and shoulder muscles. it is usually performed for timed holds, either one side at a time or alternating sides. if a ball is unavailable, some of the benefits of the movement can be obtained by performing side planks with the feet elevated on a couch, chair, bench, or other stable object."
Hanging exercise ball leg raise,"The hanging exercise ball leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of an apparatus, it's performed hanging from a bar with an exercise ball held between the legs.",Strength,Abdominals,Exercise Ball,Intermediate,,,"hanging exercise ball leg raise the hanging exercise ball leg raise is an exercise targeting the abs and hip flexors. instead of resting the forearms on the pads of an apparatus, it's performed hanging from a bar with an exercise ball held between the legs."
Taylor Exercise Ball Stir-The-Pot,,Strength,Abdominals,Exercise Ball,Intermediate,,,taylor exercise ball stir-the-pot 
FYR2 Air Ball,,Strength,Abdominals,Exercise Ball,Intermediate,,,fyr2 air ball 
Feet-elevated plank on ball,"The feet-elevated plank is a variation on the straight-arm plank, a bodyweight standard. The feet are elevated on a ball to align the body parallel to the floor and provide a greater stabilization challenge. This makes it more difficult than straight-arm planks on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a shoulder and core warm-up, or as a burnout movement for a chest or shoulder workout.",Strength,Abdominals,Exercise Ball,Intermediate,,,"feet-elevated plank on ball the feet-elevated plank is a variation on the straight-arm plank, a bodyweight standard. the feet are elevated on a ball to align the body parallel to the floor and provide a greater stabilization challenge. this makes it more difficult than straight-arm planks on the floor, but also puts more emphasis on the shoulder muscles. it is often used as a shoulder and core warm-up, or as a burnout movement for a chest or shoulder workout."
Band Hip Adductions,,Strength,Adductors,Bands,Beginner,8.6,Average,band hip adductions 
Lateral Band Walk,,Strength,Abductors,Bands,Intermediate,0.0,,lateral band walk 
FYR2 Standing Banded Leg Abduction,,Strength,Abductors,Bands,Intermediate,,,fyr2 standing banded leg abduction 
Iliotibial band SMR,"Iliotibial band self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller or other ""trigger point"" massage tool. By applying pressure strategically to the IT band along the side of the upper leg, some people find they can cause this often painful and tight area to relax or ""release."" IT band SMR is often accompanied by SMR on the glute or quad muscles, or by stretches that target the glutes or quads.",Stretching,Abductors,Foam Roll,Intermediate,8.2,Average,"iliotibial band smr iliotibial band self-myofascial release (smr) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller or other ""trigger point"" massage tool. by applying pressure strategically to the it band along the side of the upper leg, some people find they can cause this often painful and tight area to relax or ""release."" it band smr is often accompanied by smr on the glute or quad muscles, or by stretches that target the glutes or quads."
Adductor SMR,"Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.",Stretching,Adductors,Foam Roll,Beginner,4.0,Average,"adductor smr adductor self-myofascial release (smr) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. by applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" adductor smr is often accompanied by smr on the iliotibial (it) band or glutes (tfl muscles), or by stretches that target the adductors."
Lying Bent Leg Groin,,Stretching,Adductors,Other,Beginner,2.8,Average,lying bent leg groin 
Lateral box jump,"The lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. It's a great move for athletes in many sports, including basketball, skiing, and tennis.",Plyometrics,Adductors,Other,Intermediate,0.0,,"lateral box jump the lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. it's a great move for athletes in many sports, including basketball, skiing, and tennis."
Thigh adductor,"The thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Adductors,Machine,Intermediate,9.0,Average,"thigh adductor the thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training."
Thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Abductors,Machine,Intermediate,8.2,Average,"thigh abductor the thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training."
Standing Hip Circles,,Stretching,Abductors,Body Only,Beginner,8.8,Average,standing hip circles 
Groiners,,Stretching,Adductors,Body Only,Beginner,8.8,Average,groiners 
Fire Hydrant,,Strength,Abductors,Body Only,Beginner,8.0,Average,fire hydrant 
Windmills,,Stretching,Abductors,Body Only,Intermediate,8.0,Average,windmills 
Side Leg Raises,,Stretching,Adductors,Body Only,Beginner,7.7,Average,side leg raises 
Lateral hop,"The lateral hop is an explosive bodyweight exercise that consists of a two-legged hop to the side. It targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout.",Plyometrics,Adductors,Body Only,Intermediate,7.3,Average,"lateral hop the lateral hop is an explosive bodyweight exercise that consists of a two-legged hop to the side. it targets the lower body, including the quads, glutes, and hamstrings. performed for reps, it also provides a serious cardiovascular challenge. it can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout."
Monster Walk,,Strength,Abductors,Body Only,Intermediate,6.7,Average,monster walk 
Side Lying Groin Stretch,,Stretching,Adductors,Body Only,Intermediate,3.8,Average,side lying groin stretch 
IT Band and Glute Stretch,,Stretching,Abductors,Body Only,Intermediate,2.4,Average,it band and glute stretch 
Single-leg lying cross-over stretch,"The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.",Stretching,Abductors,Body Only,Beginner,1.6,Average,"single-leg lying cross-over stretch the single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. it involves rotating a single leg over the body while lying flat on the back. it is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime."
Carioca quick step,"The carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning. It’s a favorite of football players, particularly defensive backs, because it mimics the way they have to track wide receivers downfield. It can also help mobilize the hips for athletes and lifters of all ability levels.",Plyometrics,Adductors,Body Only,Intermediate,0.0,,"carioca quick step the carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning. it’s a favorite of football players, particularly defensive backs, because it mimics the way they have to track wide receivers downfield. it can also help mobilize the hips for athletes and lifters of all ability levels."
Standing hip circle,"The standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. It is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. It requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts.",Stretching,Abductors,Body Only,Intermediate,0.0,Average,"standing hip circle the standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. it is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. it requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts."
Lateral cone hop,"The lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back. It can be performed for reps or for time and can be beneficial for track athletes, basketball players, or any other athletes who need explosive lateral power.",Plyometrics,Adductors,Body Only,Intermediate,0.0,,"lateral cone hop the lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back. it can be performed for reps or for time and can be beneficial for track athletes, basketball players, or any other athletes who need explosive lateral power."
Side-To-Side Adductor Stretch,,Strength,Adductors,Body Only,Intermediate,,,side-to-side adductor stretch 
Dynamic pigeon stretch,"The dynamic pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but involves moving in and out of the pose. It can be part of a dynamic warm-up or mobility work performed anytime.",Strength,Abductors,Body Only,Intermediate,,,"dynamic pigeon stretch the dynamic pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. it is influenced by the pigeon pose from yoga, but involves moving in and out of the pose. it can be part of a dynamic warm-up or mobility work performed anytime."
Cross-over jack,"The cross-over jack is a variation on the jumping jack, a popular calisthenics exercise used to improve overall conditioning. The difference between the jumping jack and the cross-over jack is that with the latter, the feet don't just come together each rep, they cross over each other. It's a great way to add variety to your warm-up or conditioning work.",Strength,Abductors,Body Only,Intermediate,,,"cross-over jack the cross-over jack is a variation on the jumping jack, a popular calisthenics exercise used to improve overall conditioning. the difference between the jumping jack and the cross-over jack is that with the latter, the feet don't just come together each rep, they cross over each other. it's a great way to add variety to your warm-up or conditioning work."
Traveling thigh killa,"The traveling thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops forward and backward, as well as bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.",Strength,Abductors,Body Only,Intermediate,,,"traveling thigh killa the traveling thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops forward and backward, as well as bodyweight squats. it can be performed for time or reps, usually in a circuit workout or as a lower-body finisher."
FYR Thigh Killa,"The thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.",Strength,Abductors,Body Only,Intermediate,,,"fyr thigh killa the thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats. it can be performed for time or reps, usually in a circuit workout or as a lower-body finisher."
HM Straddle Stretch,,Stretching,Abductors,Body Only,Intermediate,,,hm straddle stretch 
HM Right Leg Swing,,Stretching,Abductors,Body Only,Intermediate,,,hm right leg swing 
HM Right Side-Kick,,Stretching,Abductors,Body Only,Intermediate,,,hm right side-kick 
HM Frog Stretch,,Strength,Abductors,Body Only,Intermediate,,,hm frog stretch 
HM Kick-Out,,Strength,Abductors,Body Only,Intermediate,,,hm kick-out 
HM Left Leg Swing,,Strength,Adductors,Body Only,Intermediate,,,hm left leg swing 
UNS Foam Roll Adductor,,Strength,Adductors,Body Only,Intermediate,,,uns foam roll adductor 
MetaBurn Groiner,,Strength,Abductors,Body Only,Intermediate,,,metaburn groiner 
Side-lying leg adduction scissor,"The side-lying leg adduction scissor is a dynamic core exercise that combines the isometric hold of a side-lying leg lift with leg adductions to further challenge the core and adductors. It targets multiple muscles of the core, primarily the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Adductors,Body Only,Intermediate,,,"side-lying leg adduction scissor the side-lying leg adduction scissor is a dynamic core exercise that combines the isometric hold of a side-lying leg lift with leg adductions to further challenge the core and adductors. it targets multiple muscles of the core, primarily the rectus abdominis or ""six-pack"" muscles. it can be performed for time or reps in the ab-focused portion of any workout."
Groin and Back Stretch,,Stretching,Adductors,None,Beginner,7.1,Average,groin and back stretch 
Adductor/Groin,,Stretching,Adductors,None,Beginner,3.6,Average,adductor/groin 
Incline dumbbell biceps curl,"The incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Strength,Biceps,Bands,Intermediate,,,"incline dumbbell biceps curl the incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. this creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. this curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training."
Banded biceps curl in squat position,"The banded biceps curl in squat position is an exercise targeting the biceps, although it also works the core and lower body.",Strength,Biceps,Bands,Intermediate,,,"banded biceps curl in squat position the banded biceps curl in squat position is an exercise targeting the biceps, although it also works the core and lower body."
Banded Hammer Press - Gethin Variation,The machine chest press is an upper body exercise targeting the pectoral muscles.,Strength,Biceps,Bands,Intermediate,,,banded hammer press - gethin variation the machine chest press is an upper body exercise targeting the pectoral muscles.
Band standing concentration curl,"The band standing concentration curl is a variation of a popular biceps-focused exercise utilizing a band instead of a dumbbell. It allows you to focus on one biceps at a time and really squeeze out intense peak contractions. Band concentration curls are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.",Strength,Biceps,Bands,Intermediate,,,"band standing concentration curl the band standing concentration curl is a variation of a popular biceps-focused exercise utilizing a band instead of a dumbbell. it allows you to focus on one biceps at a time and really squeeze out intense peak contractions. band concentration curls are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout."
Brachialis SMR,"Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs.",Stretching,Biceps,Foam Roll,Beginner,3.2,Average,"brachialis smr brachialis self-myofascial release (smr) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. by applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" brachialis smr is often accompanied by smr on the triceps muscles or pectorals, or by stretches that target the biceps or pecs."
Wide-grip barbell curl,"The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,9.3,Average,"wide-grip barbell curl the wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. it is thought that this helps build the inner or ""short"" head of the biceps muscles. this movement is usually performed for moderate to high reps, such as 8-12 reps per set."
EZ-bar spider curl,"The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Strength,Biceps,Barbell,Intermediate,9.2,Average,"ez-bar spider curl the ez-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. the ez-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. this curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training."
Barbell Curl,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.",Strength,Biceps,Barbell,Intermediate,9.0,Average,"barbell curl the barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. it helps build sleeve-popping biceps and allows heavier loading than many other curl variations. it is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout."
Close-grip EZ-bar curl,"The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard EZ-bar curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,8.9,Average,"close-grip ez-bar curl the close-grip ez-bar curl is an exercise targeting the biceps, particularly the long head. the main difference between this exercise and standard ez-bar curls is that the hands are positioned closer together on the bar. it is thought that this helps build the outer biceps head and the peak. this curl variation is usually performed for moderate to high reps, such as 8-12 reps per set."
Preacher Curl,"The EZ-bar preacher curl is a classic exercise for building bigger biceps. This move is all about isolation. With the back of the upper arms against the pad, it’s next to impossible to cheat. Go light, get a great pump, and build that peak!",Strength,Biceps,Barbell,Intermediate,8.8,Average,"preacher curl the ez-bar preacher curl is a classic exercise for building bigger biceps. this move is all about isolation. with the back of the upper arms against the pad, it’s next to impossible to cheat. go light, get a great pump, and build that peak!"
Barbell Curls Lying Against An Incline,,Strength,Biceps,Barbell,Beginner,8.8,Average,barbell curls lying against an incline 
Seated Close-Grip Concentration Barbell Curl,,Strength,Biceps,Barbell,Beginner,8.8,Average,seated close-grip concentration barbell curl 
Close-grip barbell curl,"The close-grip barbell curl is a curl variation where the hands are closer than shoulder width. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,8.6,Average,"close-grip barbell curl the close-grip barbell curl is a curl variation where the hands are closer than shoulder width. it is thought that this helps build the outer biceps head and the peak. this curl variation is usually performed for moderate to high reps, such as 8-12 reps per set."
Drag curl,"The drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. With the elbows kept back, the barbell ""drags"" up the torso. It is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout.",Strength,Biceps,Barbell,Beginner,8.5,Average,"drag curl the drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. with the elbows kept back, the barbell ""drags"" up the torso. it is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout."
Reverse-grip barbell curl,"The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.",Strength,Biceps,Barbell,Intermediate,8.2,Average,"reverse-grip barbell curl the reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. the switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. if it is uncomfortable to the wrists, try performing it on the angles of an ez-curl bar."
Lying High Bench Barbell Curl,,Strength,Biceps,Barbell,Beginner,5.8,Average,lying high bench barbell curl 
Seated wide-grip curl to close-grip curl,"The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. It is thought that wide-grip curls target the inner head of the biceps more, while close-grip curls target the outer head or peak. This variation allows you to get the benefits of both.",Strength,Biceps,Barbell,Beginner,0.0,,"seated wide-grip curl to close-grip curl the seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. it is thought that wide-grip curls target the inner head of the biceps more, while close-grip curls target the outer head or peak. this variation allows you to get the benefits of both."
Seated Straigh-Bar Curl Superset,"The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. The variation is that the range of motion changes in alternating fashion—one more traditional, one where you’re bringing the weight in more from the side.",Strength,Biceps,Barbell,Beginner,0.0,,"seated straigh-bar curl superset the seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. the variation is that the range of motion changes in alternating fashion—one more traditional, one where you’re bringing the weight in more from the side."
Dave Draper Forehead Curl,,Strength,Biceps,Barbell,Intermediate,,,dave draper forehead curl 
Reverse-grip EZ-bar curl,"The reverse-grip EZ-bar curl is an exercise targeting the biceps and forearms. Because grip strength is a limitation with this move, it is often performed for moderate to high reps as part of an upper-body or arm-focused workout.",Strength,Biceps,Barbell,Intermediate,,,"reverse-grip ez-bar curl the reverse-grip ez-bar curl is an exercise targeting the biceps and forearms. because grip strength is a limitation with this move, it is often performed for moderate to high reps as part of an upper-body or arm-focused workout."
EZ-Bar Spider Curl - Gethin Variation,The EZ-bar spider curl is an isolation exercise targeting the biceps and performed face-down on an incline bench. The EZ-bar makes for a more comfortable wrist position.,Strength,Biceps,Barbell,Intermediate,,,ez-bar spider curl - gethin variation the ez-bar spider curl is an isolation exercise targeting the biceps and performed face-down on an incline bench. the ez-bar makes for a more comfortable wrist position.
Barbell curl-,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.",Strength,Biceps,Barbell,Intermediate,,,"barbell curl- the barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. it helps build sleeve-popping biceps and allows heavier loading than many other curl variations. it is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout."
Paul Carter Barbell Curl,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.",Strength,Biceps,Barbell,Intermediate,,,"paul carter barbell curl the barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. it helps build sleeve-popping biceps and allows heavier loading than many other curl variations. it is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout."
Standing band biceps curl,The standing band biceps curl is an arm-focused exercise using a band for resistance. This variation is usually performed for moderate to high reps as part of an arms-focused or upper-body workout.,Strength,Biceps,Barbell,Intermediate,,,standing band biceps curl the standing band biceps curl is an arm-focused exercise using a band for resistance. this variation is usually performed for moderate to high reps as part of an arms-focused or upper-body workout.
